N=2,N=5,N=8,N=10
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.21E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.22E-02,1.06E-01
-2.48E-01,2.15E-01,9.23E-02,1.06E-01
-2.48E-01,2.15E-01,9.23E-02,1.06E-01
-2.48E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.23E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.24E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.25E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
-2.47E-01,2.14E-01,9.26E-02,1.06E-01
